unique_id,synapse_id,bouton,x_coord,y_coord,pr_total,pr_before,pr_after,unc_sum,brp_sum,unc_norm,brp_norm,ranking,genotype,nmj_id,treatment
130,130,1,970.3443547,1537.432244,0.061611374,0.010989011,0.1,1868285,16206027,0.415628311,0.635425588,0,'WT','PdBU_20','PdBU'
131,131,1,996.3658542,1492.320811,0.241706161,0.186813187,0.283333333,2087375,13639563,0.464368201,0.534796551,1,'WT','PdBU_20','PdBU'
132,132,1,987.3186199,1427.817506,0.440758294,0.384615385,0.483333333,1925600,20613088,0.428378901,0.808222988,1,'WT','PdBU_20','PdBU'
133,133,1,1005.997299,1455.891253,0.090047393,0.021978022,0.141666667,2390660,14466360,0.531838545,0.567214612,1,'WT','PdBU_20','PdBU'
134,134,1,1005.988092,1402.393066,0.047393365,0.010989011,0.075,1450567,15688171,0.322700611,0.615120861,1,'WT','PdBU_20','PdBU'
135,135,1,1036.93825,1406.210923,0.047393365,0.021978022,0.066666667,1752321,10234120,0.389830361,0.401271806,1,'WT','PdBU_20','PdBU'
136,136,1,1057.173797,1374.601136,0.559241706,0.351648352,0.716666667,1549178,17893045,0.344638123,0.701572239,1,'WT','PdBU_20','PdBU'
137,137,1,1084.583084,1332.548675,0.222748815,0.142857143,0.283333333,1133962,11364193,0.252267031,0.44558108,1,'WT','PdBU_20','PdBU'
138,138,1,1108.508102,1297.686304,0.312796209,0.208791209,0.391666667,1124566,15996707,0.250176749,0.627218315,1,'WT','PdBU_20','PdBU'
139,139,1,1125.635361,1255.101017,0.161137441,0.076923077,0.225,1229316,16895396,0.273479973,0.662455205,0,'WT','PdBU_20','PdBU'
140,140,1,1164.805888,1176.852814,0.099526066,0.054945055,0.133333333,1358271,14166645,0.302167967,0.555463022,0,'WT','PdBU_20','PdBU'
141,141,1,1170.899806,1161.091001,0.037914692,0,0.066666667,1521107,12471759,0.338393303,0.489007873,0,'WT','PdBU_20','PdBU'
142,142,1,1191.84042,1136.556953,0.047393365,0.021978022,0.066666667,1851133,10605404,0.411812588,0.41582956,1,'WT','PdBU_20','PdBU'
143,143,1,1197.590934,1097.917804,0.028436019,0.021978022,0.033333333,1604246,10807569,0.356888834,0.423756291,1,'WT','PdBU_20','PdBU'
144,144,1,1226.568701,1104.37312,0.165876777,0.131868132,0.191666667,2637339,13933905,0.586716027,0.546337469,1,'WT','PdBU_20','PdBU'
145,145,1,1219.799526,1069.365505,0.549763033,0.32967033,0.716666667,1829334,20626937,0.40696307,0.808765996,0,'WT','PdBU_20','PdBU'
146,146,1,1261.860062,949.9795234,0.132701422,0.076923077,0.175,838725,7184172,0.186587086,0.281685741,1,'WT','PdBU_20','PdBU'
147,147,1,1287.086769,952.3882259,0.279620853,0.175824176,0.358333333,1786900,14147939,0.397522984,0.554729574,1,'WT','PdBU_20','PdBU'
148,148,1,1298.284684,943.1243328,0.137440758,0.065934066,0.191666667,1619038,9629907,0.360179538,0.377581089,0,'WT','PdBU_20','PdBU'
149,149,1,1295.325513,905.9195107,0.151658768,0.098901099,0.191666667,2245216,13352381,0.499482324,0.52353637,1,'WT','PdBU_20','PdBU'
150,150,1,1297.771087,739.1230088,0.492890995,0.417582418,0.55,1803043,17181521,0.401114239,0.673673941,1,'WT','PdBU_20','PdBU'
151,151,1,1333.606159,723.0706407,0.146919431,0.098901099,0.183333333,3316753,21527532,0.737861967,0.844077619,1,'WT','PdBU_20','PdBU'
152,152,1,1356.100491,731.0857377,0.028436019,0.010989011,0.041666667,1085651,10044352,0.241519517,0.393831152,1,'WT','PdBU_20','PdBU'
153,153,1,1361.679758,788.2318976,0.156398104,0.10989011,0.191666667,787034,10623048,0.17508764,0.416521367,1,'WT','PdBU_20','PdBU'
154,154,1,1367.46408,708.7444261,0.018957346,0,0.033333333,1006092,9959545,0.223820412,0.390505936,0,'WT','PdBU_20','PdBU'
155,155,1,1382.923841,728.6360822,0.398104265,0.32967033,0.45,1687796,21176046,0.375475797,0.830296129,0,'WT','PdBU_20','PdBU'
156,156,1,1421.175667,453.0334234,0.170616114,0.164835165,0.175,2292047,11162782,0.509900589,0.437683913,1,'WT','PdBU_20','PdBU'
157,157,1,1419.317061,595.0584164,0.109004739,0.076923077,0.133333333,1070977,9553929,0.238255063,0.374602051,1,'WT','PdBU_20','PdBU'
158,158,1,1425.624542,506.580859,0.232227488,0.230769231,0.233333333,500844,8925845,0.111420338,0.349975371,1,'WT','PdBU_20','PdBU'
159,159,1,1423.417485,549.3038885,0.104265403,0.065934066,0.133333333,975625,11133211,0.217042566,0.436524458,1,'WT','PdBU_20','PdBU'
160,160,1,1437.732479,626.1835217,0.431279621,0.340659341,0.5,1292852,11651709,0.287614519,0.456854357,1,'WT','PdBU_20','PdBU'
161,161,1,1440.046867,581.0641246,0.004739336,0,0.008333333,908114,7034677,0.202023721,0.275824159,1,'WT','PdBU_20','PdBU'
162,162,1,1438.945789,535.9529483,0.052132701,0.043956044,0.058333333,684556,5577050,0.152289856,0.218671749,1,'WT','PdBU_20','PdBU'
163,163,1,1523.225836,437.1875663,0.568720379,0.43956044,0.666666667,1804500,9199369,0.401438371,0.360700032,1,'WT','PdBU_20','PdBU'
164,164,1,1532.263305,207.7016868,0.507109005,0.373626374,0.608333333,1451954,16536997,0.32300917,0.648402662,0,'WT','PdBU_20','PdBU'
165,165,1,1585.111783,245.0999315,0.293838863,0.164835165,0.391666667,1164542,10988915,0.259070016,0.430866725,1,'WT','PdBU_20','PdBU'
166,166,1,1575.144394,197.66634,0.630331754,0.505494505,0.725,1500653,8585593,0.333843001,0.336634357,1,'WT','PdBU_20','PdBU'
